TimeID;Year;Decade
1;1991;1990s
2;1992;1990s
3;1994;1990s
4;1995;1990s
5;1996;1990s
6;1997;1990s
7;1998;1990s
8;1999;1990s
9;2000;2000s
10;2001;2000s
11;2002;2000s
12;2003;2000s
13;2004;2000s
14;2005;2000s
15;2006;2000s
16;2007;2000s
17;2008;2000s
18;2009;2000s
19;2010;2010s
20;2011;2010s
21;2012;2010s
22;2013;2010s
23;2014;2010s
24;2015;2010s
25;2016;2010s
26;2017;2010s
27;2018;2010s
28;2019;2010s
29;2020;2020s
30;2021;2020s
31;2022;2020s
32;2023;2020s
33;2024;2020s
