Track;Artist;Album;Year;Tempo;Duration_Min;Genre;Popularity;ArtistID;GenreID;TimeID
All Over The World - Above & Beyond Extended Club Mix;Above & Beyond;The Club Mix Collection;2009;128012;68711;Tech House;9;1;1;18
No One On Earth (Above & Beyond Respray) [Mixed] - Gabriel & Dresden Remix;Above & Beyond;A State Of Trance 1000 - Celebration Mix (Mixed by Armin van Buuren);2009;130027;1,23067E+16;Tech House;21;1;1;18
Alone Tonight - Above & Beyond Club Mix (Edit);Above & Beyond;The Club Mix Collection;2009;137909;344;Techno;33;1;2;18
On a Good Day - Above & Beyond Radio Edit;Above & Beyond;On A Good Day;2009;136002;3,68933E+16;Techno;20;1;2;18
Blue Sky Action - Above & Beyond Extended Club Mix;Above & Beyond;Blue Sky Action;2014;130014;6,67043E+16;Tech House;16;1;1;23
Ten Feet Tall;AFROJACK;Forget The World (Deluxe);2014;127049;381915;Future House;59;3;3;23
The Spark;AFROJACK;Forget The World (Deluxe);2014;126051;4,01488E+16;Future House;53;3;3;23
Can't Sleep - Radio Edit;Above & Beyond;Can't Sleep;2013;132991;3,21443E+16;Techno;38;1;2;22
Do I See Color;Adventure Club;Do I See Color - Single;2013;139956;385445;Techno;38;2;2;22
Fade (feat. Zak Waters);Adventure Club;Red // Blue;2013;100831;3,46238E+16;Deep House;35;2;5;22
As Your Friend;AFROJACK;As Your Friend;2013;128033;4,00007E+16;Tech House;37;3;1;22
Sun & Moon;Above & Beyond;Acoustic;2011;136804;4,80043E+16;Techno;36;1;2;20
Thing Called Love - Original Mix;Above & Beyond;Group Therapy;2011;134019;5,48888E+16;Techno;40;1;2;20
Happiness Amplified;Above & Beyond;Common Ground;2019;125985;55491;Future House;34;1;3;28
Rise & Fall (feat. Krewella);Adventure Club;Rise & Fall (feat. Krewella);2019;140023;60307;Trance;40;2;6;28
Force;Alan Walker;Origins;2019;105009;4,00008E+16;Deep House;49;4;5;28
We’re All We Need - SpectraSoul Remix (Mixed);Above & Beyond;Anjunabeats presents Drum & Bass 01 (DJ Mix);2015;171996;40465;Hardstyle/Hardcore;24;1;4;24
Faded;Alan Walker;Faded;2015;90011;3,54377E+16;Downtempo;70;4;7;24
On My Way;Alan Walker;On My Way;2015;170087;322995;Hardstyle/Hardcore;73;4;4;24
Spectre;Alan Walker;Origins;2015;12795;38439;Future House;53;4;3;24
Crash 2.0;Adventure Club;Red // Blue;2018;127975;4,24798E+15;Future House;47;2;3;27
Need Your Heart (feat. Kai);Adventure Club;Need Your Heart (feat. Kai);2018;140093;4,02613E+16;Trance;41;2;6;27
Wonder (feat. The Kite String Tangle);Adventure Club;Calling All Heroes;2018;123;4,85373E+16;Future House;41;2;3;27
Darkside;Alan Walker;Different World;2018;169988;3528;Hardstyle/Hardcore;72;4;4;27
Gold (feat. Yuna);Adventure Club;Calling All Heroes;2016;145022;4,28407E+16;Trance;46;2;6;25
Rebellious (feat. Yuna);Adventure Club;Love // Chaos;2016;79004;3,83902E+16;Downtempo;25;2;7;25
Alone;Alan Walker;Alone;2016;97019;2,68667E+16;Downtempo;61;4;7;25
Sing Me to Sleep;Alan Walker;Sing Me to Sleep;2016;176112;315555;Hardstyle/Hardcore;59;4;4;25
Limitless (feat. Delaney Jane);Adventure Club;Red // Blue;2017;80033;4,07683E+16;Downtempo;39;2;7;26
All Falls Down (feat. Juliander);Alan Walker;All Falls Down (feat. Juliander);2017;97976;3,31852E+16;Downtempo;61;4;7;26
The Spectre;Alan Walker;The Spectre;2017;127957;3,22978E+16;Future House;72;4;3;26
Take over Control (feat. Eva Simons);AFROJACK;Take over Control (feat. Eva Simons);2010;129944;3,67533E+16;Tech House;52;3;1;19
No Beef;AFROJACK;No Beef;2012;12798;603235;Future House;44;3;3;21
Rock The House;AFROJACK;Rock The House;2012;130049;3,84652E+16;Tech House;37;3;1;21
Tired;Alan Walker;Tired;2019;123994;320185;Future House;61;4;3;28
Cool;Alesso;Forever;2015;128023;369;Tech House;54;5;1;24
Heroes (we could be);Alesso;Forever;2014;125896;3,50022E+16;Future House;71;5;3;23
Midnight (feat. Liam Payne);Alesso;Midnight (feat. Liam Payne);2018;144029;3669;Trance;55;5;6;27
Only You;Alesso;Only You;2016;129035;2,41957E+16;Tech House;55;5;1;25
Sweet Escape;Alesso;Forever;2015;126029;387555;Future House;50;5;3;24
Tear The Roof Up - Radio Edit;Alesso;Forever;2013;126023;32631;Future House;32;5;3;22
Church;Alison Wonderland;Awake;2018;94052;30652;Downtempo;44;6;7;27
Cold;Alison Wonderland;Run;2018;140977;354655;Trance;25;6;6;27
Cry;Alison Wonderland;Awake;2018;161964;3,33237E+16;Hardstyle/Hardcore;38;6;4;27
Games;Alison Wonderland;Run;2018;164848;359865;Hardstyle/Hardcore;29;6;4;27
Happy Place;Alison Wonderland;Awake;2018;150072;3,34172E+16;Hardstyle/Hardcore;36;6;4;27
Here 4 U - Alison Wonderland x BLESSUS;Alison Wonderland;Awake;2020;160048;275625;Hardstyle/Hardcore;33;6;4;29
I Want U;Alison Wonderland;Run;2018;140033;3,50028E+16;Trance;52;6;6;27
No;Alison Wonderland;Awake;2018;174034;4,00928E+16;Hardstyle/Hardcore;31;6;4;27
Run;Alison Wonderland;Run;2018;14502;3,64638E+16;Trance;44;6;6;27
U Don’t Know;Alison Wonderland;Run;2019;138055;4,06042E+16;Techno;40;6;2;28
Ageispolis;Aphex Twin;Selected Ambient Works 85-92;1999;101757;5,38643E+16;Deep House;54;7;5;8
Alberto Balsalm;Aphex Twin;...I Care Because You Do;1995;93988;51791;Downtempo;55;7;7;4
Avril 14th;Aphex Twin;Drukqs;2001;157811;2092;Hardstyle/Hardcore;64;7;4;10
Flim;Aphex Twin;Come To Daddy;1997;14798;295155;Trance;57;7;6;6
Girl/Boy Song;Aphex Twin;Richard D. James Album;1995;168937;4,88043E+16;Hardstyle/Hardcore;39;7;4;4
On;Aphex Twin;On;2014;134984;7,21488E+16;Techno;38;7;2;23
Polynomial-C;Aphex Twin;Classics;1992;72287;47751;Downtempo;43;7;7;2
Vordhosbn;Aphex Twin;Drukqs;2010;170071;4,85643E+16;Hardstyle/Hardcore;44;7;4;19
Windowlicker;Aphex Twin;Windowlicker;1999;123023;6094;Future House;52;7;3;8
Xtal;Aphex Twin;Selected Ambient Works 85-92;1992;114532;489585;Deep House;61;7;5;2
Beautiful Life;Armin van Buuren;Intense;2018;128001;6144;Tech House;39;8;1;27
Blah Blah Blah;Armin van Buuren;Blah Blah Blah;2009;138009;3,05863E+16;Techno;64;8;2;18
Communication;Armin van Buuren;Communication;1999;135959;3,32778E+16;Techno;45;8;2;8
I Need You;Armin van Buuren;I Need You (feat. Olaf Blackwood);2015;106997;3,44583E+16;Deep House;43;8;5;24
Not Giving Up On Love;Armin van Buuren;Mirage;2010;131063;2896;Tech House;47;8;1;19
Ping Pong - Hardwell Remix;Armin van Buuren;Ping Pong (Hardwell Remix);2012;129956;3,01538E+16;Tech House;47;8;1;21
Shivers;Armin van Buuren;Armin Anthems Top 100 (Ultimate Singles Collected);2022;135007;31636;Techno;41;8;2;31
This Is What It Feels Like - Armin van Buuren 2023 Remix;Armin van Buuren;This Is What It Feels Like (Armin van Buuren 2023 Remix);2023;129902;3,65287E+16;Tech House;54;8;1;32
Turn The World Into A Dancefloor (ASOT 1000 Anthem);Armin van Buuren;A State Of Trance FOREVER;2022;135009;3,56668E+16;Techno;33;8;2;31
Hindsight - Original Mix;Audien;Hindsight;2014;128007;475;Tech House;28;9;1;23
Living in Color;Audien;Living in Color;2016;127914;2875;Future House;51;9;3;25
Something Better;Audien;Daydreams;2015;12608;354365;Future House;46;9;3;24
Wish It Was You;Audien;Wish It Was You;2019;124957;32;Future House;53;9;3;28
Fade Into Darkness - Vocal Radio Mix;Avicii;Fade Into Darkness;2011;125997;3,30222E+16;Future House;58;10;3;20
Hey Brother;Avicii;True;2013;125014;425155;Future House;78;10;3;22
Levels - Original Version;Avicii;Levels;2011;12599;5,64777E+16;Future House;60;10;3;20
Silhouettes - Original Radio Edit;Avicii;Silhouettes;2012;128074;3,53133E+16;Tech House;65;10;1;21
The Days;Avicii;The Days / Nights;2014;127059;4,64133E+16;Future House;65;10;3;23
The Nights;Avicii;The Days / Nights;2013;125983;29443;Future House;85;10;3;22
Waiting For Love;Avicii;Stories;2015;127999;384355;Future House;80;10;3;24
Wake Me Up;Avicii;True;2013;12408;4,12377E+16;Future House;86;10;3;22
