Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
All Over The World - Above & Beyond Extended Club Mix,Above & Beyond,The Club Mix Collection,2009,412266,4,0.65,0.816,0,-5.749,1,0.0476,0.00471,0.458,0.0896,0.519,128.012,9
Alone Tonight - Above & Beyond Club Mix (Edit),Above & Beyond,The Club Mix Collection,2009,206400,4,0.506,0.822,3,-8.63,0,0.0497,0.255,0.0516,0.0775,0.37,137.909,33
Blue Sky Action - Above & Beyond Extended Club Mix,Above & Beyond,Blue Sky Action,2014,400226,4,0.691,0.581,5,-6.563,1,0.0386,0.000701,0.0311,0.0855,0.265,130.014,16
Can't Sleep - Radio Edit,Above & Beyond,Can't Sleep,2013,192866,4,0.641,0.932,7,-5.797,0,0.0658,0.0657,0.0353,0.06,0.335,132.991,38
Happiness Amplified,Above & Beyond,Common Ground,2019,332946,4,0.482,0.525,1,-10.987,1,0.0408,0.0894,0.000507,0.0652,0.0867,125.985,34
No One On Earth (Above & Beyond Respray) [Mixed] - Gabriel & Dresden Remix,Above & Beyond,A State Of Trance 1000 - Celebration Mix (Mixed by Armin van Buuren),2009,73840,3,0.533,0.907,1,-6.942,1,0.0366,0.00598,0.846,0.319,0.388,130.027,21
On a Good Day - Above & Beyond Radio Edit,Above & Beyond,On A Good Day,2009,221360,4,0.6,0.783,6,-7.265,1,0.0254,0.032,0.00665,0.207,0.818,136.002,20
Sun & Moon,Above & Beyond,Acoustic,2011,288026,4,0.48,0.406,6,-11.467,0,0.0308,0.766,0.00000177,0.122,0.196,136.804,36
Thing Called Love - Original Mix,Above & Beyond,Group Therapy,2011,329333,4,0.492,0.87,3,-6.703,0,0.0367,0.00155,0.0157,0.326,0.28,134.019,40
We’re All We Need - SpectraSoul Remix (Mixed),Above & Beyond,Anjunabeats presents Drum & Bass 01 (DJ Mix),2015,242790,4,0.546,0.87,5,-4.551,0,0.0418,0.000159,0.159,0.458,0.217,171.996,24
Crash 2.0,Adventure Club,Red // Blue,2018,254879,4,0.66,0.653,8,-4.746,1,0.0584,0.00253,0,0.0673,0.162,127.975,47
Do I See Color,Adventure Club,Do I See Color - Single,2013,231267,4,0.586,0.958,8,-4.013,0,0.0517,0.00024,0.581,0.365,0.676,139.956,38
Fade (feat. Zak Waters),Adventure Club,Red // Blue,2013,207743,3,0.413,0.909,11,-4.16,0,0.0606,0.0117,0.0979,0.107,0.0393,100.831,35
Gold (feat. Yuna),Adventure Club,Calling All Heroes,2016,257044,4,0.479,0.675,9,-4.893,0,0.0413,0.0319,0.00536,0.128,0.189,145.022,46
Limitless (feat. Delaney Jane),Adventure Club,Red // Blue,2017,244610,4,0.509,0.724,0,-4.333,0,0.0499,0.0766,0.0000107,0.155,0.132,80.033,39
Need Your Heart (feat. Kai),Adventure Club,Need Your Heart (feat. Kai),2018,241568,4,0.41,0.712,7,-4.281,0,0.0392,0.00512,0.0000523,0.164,0.166,140.093,41
Rebellious (feat. Yuna),Adventure Club,Love // Chaos,2016,230341,4,0.367,0.536,3,-6.151,1,0.0317,0.222,0,0.129,0.199,79.004,25
Rise & Fall (feat. Krewella),Adventure Club,Rise & Fall (feat. Krewella),2019,361842,4,0.512,0.83,5,-5.293,0,0.0445,0.00213,0.166,0.0694,0.452,140.023,40
Wonder (feat. The Kite String Tangle),Adventure Club,Calling All Heroes,2018,291224,4,0.655,0.809,7,-3.678,0,0.0334,0.0426,0.000505,0.286,0.272,123,41
As Your Friend,AFROJACK,As Your Friend,2013,240004,4,0.654,0.761,6,-4.404,1,0.0678,0.0467,0,0.104,0.805,128.033,37
No Beef,AFROJACK,No Beef,2012,361941,4,0.741,0.838,11,-5.181,0,0.0404,0.0229,0.31,0.0649,0.234,127.98,44
Rock The House,AFROJACK,Rock The House,2012,230791,4,0.689,0.841,4,-5.592,0,0.0862,0.0176,0.776,0.137,0.541,130.049,37
Take over Control (feat. Eva Simons),AFROJACK,Take over Control (feat. Eva Simons),2010,220520,4,0.735,0.699,0,-4.435,0,0.084,0.121,0.0000282,0.0809,0.603,129.944,52
Ten Feet Tall,AFROJACK,Forget The World (Deluxe),2014,229149,4,0.523,0.861,0,-3.447,1,0.0644,0.0336,0,0.144,0.346,127.049,59
