web_scraper_order,web_scraper_start_url,Venue,Name,Country,Venue2,Genres,Price(s.f.),Duration,Where,Visitors,Date 2026,Date 20262,Venue3,Venue4,Venue5,Venue6,Date 20263,Date 20264
"1763560046-1","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Rheinlanddamm 200                              Dortmund,
                              DE
                              44139","Supremacy - Germany Decoded","Northrhine-Westphalia","Westfalenhalle Dortmund","Electro, Hardcore (Electro)","n/a","1 day","indoor","no data","02/28","","Rheinlanddamm 200","Dortmund","DE","44139","02/28","02/28"
"1763560046-2","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Arno-Bahndorf-Straße 12                              Neukieritzsch,
                              DE
                              04574","EONLY Festival","Saxony","Kulturpark Deutzen","Electro, Gothic","€ 92.00","2 days","indoor","no data","03/13
                                 -
                                
                                    03/14","03/14","Arno-Bahndorf-Straße 12","Neukieritzsch","DE","04574","03/13","03/13"
"1763560046-3","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","St. Moritz,
                              CH
                              7500","SunIce Festival","Switzerland","","Electronic Dance Music (EDM), Techno","€ 215.00","4 days","indoor","20000","03/19
                                 -
                                
                                    03/22","03/22","","St. Moritz","CH","7500","03/19","03/19"
"1763560046-4","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Mayrhofen,
                              AT
                              6290","Snowbombing Festival","Austria","Diverse Location","Dance, Electro, House, Trance","n/a","6 days","unknown","no data","04/06
                                 -
                                
                                    04/11","04/11","","Mayrhofen","AT","6290","04/06","04/06"
"1763560046-5","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Sölden,
                              AT
                              6450","Electric Mountain Festival","Austria","Diverse Location","Electro, House, Trance","€ 0.00","6 days","outdoor","17000","04/13
                                 -
                                
                                    04/18","04/18","","Sölden","AT","6450","04/13","04/13"
"1763560046-6","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Rheinlanddamm 200                              Dortmund,
                              DE
                              44139","Mayday","Northrhine-Westphalia","Westfalenhalle","Dance, Electro, House, Trance","€ 69.00","1 day","indoor","15000","04/30","","Rheinlanddamm 200","Dortmund","DE","44139","04/30","04/30"
"1763560046-7","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Bergstrasse 32                              Stemwede / Wehdem,
                              DE
                              32351","Hai in den Mai Festival","Northrhine-Westphalia","","Electro, Goa, Trance","n/a","4 days","outdoor","5000","04/30
                                 -
                                
                                    05/03","05/03","Bergstrasse 32","Stemwede / Wehdem","DE","32351","04/30","04/30"
"1763560046-8","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Vechta,
                              DE
                              49377","Tante Mia Tanzt Festival","Lower Saxony","Stoppelmarkt","Dance, Electro, Hardcore (Electro), Trance","€ 49.90","1 day","outdoor","30000","05/14","","","Vechta","DE","49377","05/14","05/14"
"1763560046-9","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Am Flughafen 35                              Memmingerberg,
                              DE
                              87766","Ikarus Festival","Bavaria","Ehemaliger Militärflugplatz","Dance, Electro, House","n/a","4 days","outdoor","35000","05/22
                                 -
                                
                                    05/25","05/25","Am Flughafen 35","Memmingerberg","DE","87766","05/22","05/22"
"1763560046-10","https://www.festival-alarm.com/us/Categories/Electronic-music-festivals/%28year%29/2026?utm_source=chatgpt.com","Muldestausee                              Mildestausee,
                              DE
                              06774","Sputnik Spring Break Festival","Saxony-Anhalt","Goitzschesee Pouch","Dance, Electro, Hardcore (Electro), Hip-Hop, Pop","€ 179.00","4 days","outdoor","27000","05/22
                                 -
                                
                                    05/25","05/25","Muldestausee","Mildestausee","DE","06774","05/22","05/22"
