FestivalID;Festival Name;TimeID;Date;GenreID;Genre;Price (eur excl. fees);Duration (days);Where;Visitors;CityID;City;CountryID;Country;Country_Code
1;2Takt Festival;29;08-08-25;19;Trance;6999;3;outdoor;null;80;Nattheim;5;Germany;DE
1;2Takt Festival;29;08-08-25;18;Techno;6999;3;outdoor;null;80;Nattheim;5;Germany;DE
1;2Takt Festival;29;08-08-25;9;House;6999;3;outdoor;null;80;Nattheim;5;Germany;DE
2;3000 Grad Festival;29;08-08-25;20;Dance;129;3;outdoor;null;29;Feldberg;5;Germany;DE
2;3000 Grad Festival;29;08-08-25;3;Electro;129;3;outdoor;null;29;Feldberg;5;Germany;DE
2;3000 Grad Festival;29;08-08-25;19;Trance;129;3;outdoor;null;29;Feldberg;5;Germany;DE
2;3000 Grad Festival;29;08-08-25;4;Electronic Dance Music (EDM);129;3;outdoor;null;29;Feldberg;5;Germany;DE
3;6*-Festival;40;12-06-25;3;Electro;22;3;outdoor;null;5;Bayreuth;5;Germany;DE
3;6*-Festival;40;12-06-25;20;Dance;22;3;outdoor;null;5;Bayreuth;5;Germany;DE
3;6*-Festival;40;12-06-25;18;Techno;22;3;outdoor;null;5;Bayreuth;5;Germany;DE
3;6*-Festival;40;12-06-25;1;Art & culture;22;3;outdoor;null;5;Bayreuth;5;Germany;DE
4;Affenkäfig Festival;41;12-06-26;3;Electro;69;3;outdoor;5000;75;Mendig;5;Germany;DE
4;Affenkäfig Festival;36;11-07-25;3;Electro;69;3;outdoor;null;75;Mendig;5;Germany;DE
4;Affenkäfig Festival;41;12-06-26;20;Dance;69;3;outdoor;5000;75;Mendig;5;Germany;DE
4;Affenkäfig Festival;36;11-07-25;20;Dance;69;3;outdoor;null;75;Mendig;5;Germany;DE
5;AgratAmAgatha Festival;2;01-08-25;10;Other;null;1;outdoor;null;101;Riedenburg;5;Germany;DE
5;AgratAmAgatha Festival;2;01-08-25;2;Disco;null;1;outdoor;null;101;Riedenburg;5;Germany;DE
5;AgratAmAgatha Festival;2;01-08-25;3;Electro;null;1;outdoor;null;101;Riedenburg;5;Germany;DE
5;AgratAmAgatha Festival;2;01-08-25;16;Ska;null;1;outdoor;null;101;Riedenburg;5;Germany;DE
5;AgratAmAgatha Festival;2;01-08-25;4;Electronic Dance Music (EDM);null;1;outdoor;null;101;Riedenburg;5;Germany;DE
5;AgratAmAgatha Festival;2;01-08-25;14;Reggae;null;1;outdoor;null;101;Riedenburg;5;Germany;DE
5;AgratAmAgatha Festival;2;01-08-25;1;Art & culture;null;1;outdoor;null;101;Riedenburg;5;Germany;DE
6;Airbeat One Festival;28;08-07-26;20;Dance;17599;5;outdoor;65000;83;Neustadt-Glewe;5;Germany;DE
6;Airbeat One Festival;28;08-07-26;5;Goa;17599;5;outdoor;65000;83;Neustadt-Glewe;5;Germany;DE
6;Airbeat One Festival;30;09-07-25;9;House;null;5;outdoor;null;83;Neustadt-Glewe;5;Germany;DE
6;Airbeat One Festival;28;08-07-26;19;Trance;17599;5;outdoor;65000;83;Neustadt-Glewe;5;Germany;DE
6;Airbeat One Festival;30;09-07-25;3;Electro;null;5;outdoor;null;83;Neustadt-Glewe;5;Germany;DE
6;Airbeat One Festival;30;09-07-25;20;Dance;null;5;outdoor;null;83;Neustadt-Glewe;5;Germany;DE
6;Airbeat One Festival;28;08-07-26;7;Hardcore (Electro);17599;5;outdoor;65000;83;Neustadt-Glewe;5;Germany;DE
6;Airbeat One Festival;28;08-07-26;18;Techno;17599;5;outdoor;65000;83;Neustadt-Glewe;5;Germany;DE
6;Airbeat One Festival;28;08-07-26;4;Electronic Dance Music (EDM);17599;5;outdoor;65000;83;Neustadt-Glewe;5;Germany;DE
6;Airbeat One Festival;28;08-07-26;3;Electro;17599;5;outdoor;65000;83;Neustadt-Glewe;5;Germany;DE
6;Airbeat One Festival;28;08-07-26;9;House;17599;5;outdoor;65000;83;Neustadt-Glewe;5;Germany;DE
7;Anderewelt. Festival;27;07-08-25;12;Punk;87;4;outdoor;null;113;Staufenberg;5;Germany;DE
7;Anderewelt. Festival;27;07-08-25;15;Rock;87;4;outdoor;null;113;Staufenberg;5;Germany;DE
7;Anderewelt. Festival;27;07-08-25;1;Art & culture;87;4;outdoor;null;113;Staufenberg;5;Germany;DE
7;Anderewelt. Festival;27;07-08-25;11;Pop;87;4;outdoor;null;113;Staufenberg;5;Germany;DE
7;Anderewelt. Festival;27;07-08-25;3;Electro;87;4;outdoor;null;113;Staufenberg;5;Germany;DE
8;Bachblyten Festival;84;25-07-25;19;Trance;null;3;outdoor;null;55;Husum;5;Germany;DE
8;Bachblyten Festival;84;25-07-25;4;Electronic Dance Music (EDM);null;3;outdoor;null;55;Husum;5;Germany;DE
8;Bachblyten Festival;84;25-07-25;5;Goa;null;3;outdoor;null;55;Husum;5;Germany;DE
8;Bachblyten Festival;84;25-07-25;3;Electro;null;3;outdoor;null;55;Husum;5;Germany;DE
9;Backyard Festival;20;06-06-25;19;Trance;null;2;outdoor;null;117;Triensbach;5;Germany;DE
9;Backyard Festival;20;06-06-25;18;Techno;null;2;outdoor;null;117;Triensbach;5;Germany;DE
9;Backyard Festival;20;06-06-25;5;Goa;null;2;outdoor;null;117;Triensbach;5;Germany;DE
9;Backyard Festival;20;06-06-25;9;House;null;2;outdoor;null;117;Triensbach;5;Germany;DE
9;Backyard Festival;20;06-06-25;3;Electro;null;2;outdoor;null;117;Triensbach;5;Germany;DE
9;Backyard Festival;20;06-06-25;4;Electronic Dance Music (EDM);null;2;outdoor;null;117;Triensbach;5;Germany;DE
10;Behind the Moon Music Festival;42;12-07-25;9;House;null;1;outdoor;null;108;Schöllkrippen;5;Germany;DE
10;Behind the Moon Music Festival;42;12-07-25;20;Dance;null;1;outdoor;null;108;Schöllkrippen;5;Germany;DE
10;Behind the Moon Music Festival;42;12-07-25;3;Electro;null;1;outdoor;null;108;Schöllkrippen;5;Germany;DE
10;Behind the Moon Music Festival;37;11-07-26;20;Dance;null;1;outdoor;1000;108;Schöllkrippen;5;Germany;DE
