FestivalID;Festival Name;CityID;CountryID;;;;;;;;;;;
1;2Takt Festival;80;5;;;;;;;;;;;
2;3000 Grad Festival;29;5;;;;;;;;;;;
3;6*-Festival;5;5;;;;;;;;;;;
4;Affenkäfig Festival;75;5;;;;;;;;;;;
5;AgratAmAgatha Festival;101;5;;;;;;;;;;;
6;Airbeat One Festival;83;5;;;;;;;;;;;
7;Anderewelt. Festival;113;5;;;;;;;;;;;
8;Bachblyten Festival;55;5;;;;;;;;;;;
9;Backyard Festival;117;5;;;;;;;;;;;
10;Behind the Moon Music Festival;108;5;;;;;;;;;;;
11;Between the Seas Festival;59;5;;;;;;;;;;;
12;Big Beach Spring Break;85;3;;;;;;;;;;;
13;Blacklist Festival;87;5;;;;;;;;;;;
14;Blade Festival;15;5;;;;;;;;;;;
15;Bluym Beats Festival;107;5;;;;;;;;;;;
16;Breakzone Festival;60;5;;;;;;;;;;;
17;Buchbusch Festival;91;5;;;;;;;;;;;
18;Bucht der Träumer* Festival;31;5;;;;;;;;;;;
19;Burning Beach Festival;95;5;;;;;;;;;;;
20;Burning Mountain Festival;129;7;;;;;;;;;;;
21;Castle Beats Festival;11;5;;;;;;;;;;;
22;Chimaera Festival;35;5;;;;;;;;;;;
23;Circle of Leaves;88;5;;;;;;;;;;;
24;Convent Festival;4;5;;;;;;;;;;;
25;Crown of Sound;68;5;;;;;;;;;;;
26;Danube Festival;6;5;;;;;;;;;;;
27;Day&Night Festival;85;3;;;;;;;;;;;
28;Defqon.1 Festival;7;6;;;;;;;;;;;
29;Delta Festival;72;4;;;;;;;;;;;
30;Docklands Festival;79;5;;;;;;;;;;;
31;Dorf of Tomorrow Festival;77;5;;;;;;;;;;;
32;EONLY Festival;81;5;;;;;;;;;;;
33;Echelon Open Air & Indoor Festival;3;5;;;;;;;;;;;
34;Electric Horizon Festival;94;5;;;;;;;;;;;
35;Electric Love Festival;92;1;;;;;;;;;;;
36;Electric Mountain Festival;115;1;;;;;;;;;;;
37;Electrifinity Festival;3;5;;;;;;;;;;;
38;Electrique Baroque Festival;122;5;;;;;;;;;;;
39;Electrisize Festival;27;5;;;;;;;;;;;
40;Elements Electronic Music Festival;18;5;;;;;;;;;;;
41;Evolution Festival;38;5;;;;;;;;;;;
42;Fairground Festival;49;5;;;;;;;;;;;
43;Familientreffen Sandersleben;105;5;;;;;;;;;;;
44;Fantasy Beach Festival;86;5;;;;;;;;;;;
45;Ferdinands Feld Festival;102;5;;;;;;;;;;;
46;Ferik Festival;26;5;;;;;;;;;;;
47;Fusion Festival;70;5;;;;;;;;;;;
48;GEht RAus! Open Air;41;5;;;;;;;;;;;
49;Great Love World Festival;109;5;;;;;;;;;;;
50;GuteZeit Festival;58;5;;;;;;;;;;;
51;Habitat Festival;47;5;;;;;;;;;;;
52;Hai in den Mai Festival;114;5;;;;;;;;;;;
53;Hain & Zunder Festival;67;5;;;;;;;;;;;
54;Harder Force Indoor Festival;52;5;;;;;;;;;;;
55;Havelbeats Festival;96;5;;;;;;;;;;;
